Random-Continuous.parameter, Random-Continuous.points, Random-Continuous_2.parameter, Random-Continuous_2.points
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
0, 15.00, 0, 15.00
1, 14.90, 0, 15.20
1, 14.85, 0, 15.30
1, 14.95, 0, 15.10
1, 15.05, 0, 14.90
1, 15.15, 0, 14.70
1, 14.80, 0, 15.40
1, 14.95, 0, 15.10
1, 14.95, 0, 15.10
1, 15.00, 0, 15.00
1, 15.00, 0, 15.00
1, 14.90, 0, 15.20
1, 15.00, 0, 15.00
1, 14.95, 0, 15.10
1, 15.05, 0, 14.90
1, 14.85, 0, 15.30
1, 15.15, 0, 14.70
1, 15.05, 0, 14.90
1, 15.00, 0, 15.00
1, 14.80, 0, 15.40
1, 15.15, 0, 14.70
1, 15.00, 0, 15.00
1, 15.15, 0, 14.70
1, 15.15, 0, 14.70
1, 15.20, 0, 14.60
1, 14.95, 0, 15.10
1, 15.05, 0, 14.90
1, 14.95, 0, 15.10
1, 14.75, 0, 15.50
1, 15.25, 0, 14.50
1, 14.90, 0, 15.20
1, 15.15, 0, 14.70
1, 15.00, 0, 15.00
1, 14.80, 0, 15.40
1, 15.00, 0, 15.00
1, 15.00, 0, 15.00
1, 14.85, 0, 15.30
1, 15.10, 0, 14.80
1, 15.05, 0, 14.90
1, 15.00, 0, 15.00
1, 15.00, 0, 15.00
1, 15.15, 0, 14.70
1, 15.00, 0, 15.00
1, 15.10, 0, 14.80
1, 15.00, 0, 15.00
1, 15.30, 0, 14.40
1, 14.85, 0, 15.30
1, 14.85, 0, 15.30
1, 14.95, 0, 15.10
1, 14.90, 0, 15.20
1, 15.05, 0, 14.90
1, 14.85, 0, 15.30
1, 15.15, 0, 14.70
1, 14.90, 0, 15.20
1, 14.90, 0, 15.20
1, 14.90, 0, 15.20
1, 15.15, 0, 14.70
1, 14.95, 0, 15.10
1, 15.20, 0, 14.60
1, 15.10, 0, 14.80
1, 15.15, 0, 14.70
1, 15.05, 0, 14.90
1, 14.85, 0, 15.30
1, 14.85, 0, 15.30
1, 15.05, 0, 14.90
1, 15.15, 0, 14.70
1, 15.05, 0, 14.90
1, 15.05, 0, 14.90
1, 14.95, 0, 15.10
1, 15.15, 0, 14.70
1, 15.00, 0, 15.00
1, 14.95, 0, 15.10
1, 14.90, 0, 15.20
1, 15.00, 0, 15.00
1, 15.10, 0, 14.80
1, 15.10, 0, 14.80
1, 15.05, 0, 14.90
1, 14.85, 0, 15.30
1, 14.90, 0, 15.20
1, 14.75, 0, 15.50
1, 15.10, 0, 14.80
1, 15.00, 0, 15.00
1, 15.05, 0, 14.90
1, 15.20, 0, 14.60
1, 15.00, 0, 15.00
1, 15.05, 0, 14.90
1, 15.05, 0, 14.90
1, 14.95, 0, 15.10
1, 14.90, 0, 15.20
1, 15.10, 0, 14.80
1, 14.95, 0, 15.10
1, 14.95, 0, 15.10
1, 15.05, 0, 14.90
1, 15.00, 0, 15.00
1, 15.10, 0, 14.80
1, 14.90, 0, 15.20
1, 15.15, 0, 14.70
1, 15.25, 0, 14.50
1, 14.80, 0, 15.40
1, 14.95, 0, 15.10
1, 14.90, 0, 15.20
2, 15.00, 0, 15.00
2, 14.90, 0, 15.20
2, 15.00, 0, 15.00
2, 14.90, 0, 15.20
2, 15.20, 0, 14.60
2, 14.80, 0, 15.40
2, 15.20, 0, 14.60
2, 14.70, 0, 15.60
2, 14.80, 0, 15.40
2, 15.20, 0, 14.60
2, 14.70, 0, 15.60
2, 15.00, 0, 15.00
2, 14.80, 0, 15.40
2, 14.50, 0, 16.00
2, 15.00, 0, 15.00
2, 15.00, 0, 15.00
2, 15.10, 0, 14.80
2, 15.00, 0, 15.00
2, 15.10, 0, 14.80
2, 15.30, 0, 14.40
2, 15.20, 0, 14.60
2, 15.00, 0, 15.00
2, 15.10, 0, 14.80
2, 15.50, 0, 14.00
2, 14.60, 0, 15.80
2, 15.10, 0, 14.80
2, 14.80, 0, 15.40
2, 15.00, 0, 15.00
2, 14.70, 0, 15.60
2, 15.10, 0, 14.80
2, 15.20, 0, 14.60
2, 15.10, 0, 14.80
2, 14.80, 0, 15.40
2, 15.00, 0, 15.00
2, 14.70, 0, 15.60
2, 14.80, 0, 15.40
2, 15.00, 0, 15.00
2, 15.00, 0, 15.00
2, 14.90, 0, 15.20
2, 15.10, 0, 14.80
2, 15.00, 0, 15.00
2, 14.50, 0, 16.00
2, 14.90, 0, 15.20
2, 15.10, 0, 14.80
2, 15.00, 0, 15.00
2, 15.00, 0, 15.00
2, 14.80, 0, 15.40
2, 15.30, 0, 14.40
2, 15.10, 0, 14.80
2, 15.10, 0, 14.80
2, 14.90, 0, 15.20
2, 14.90, 0, 15.20
2, 14.80, 0, 15.40
2, 15.10, 0, 14.80
2, 14.60, 0, 15.80
2, 14.80, 0, 15.40
2, 15.20, 0, 14.60
2, 15.10, 0, 14.80
2, 15.10, 0, 14.80
2, 14.90, 0, 15.20
2, 14.90, 0, 15.20
2, 15.10, 0, 14.80
2, 15.30, 0, 14.40
2, 15.00, 0, 15.00
2, 15.00, 0, 15.00
2, 15.30, 0, 14.40
2, 14.60, 0, 15.80
2, 15.00, 0, 15.00
2, 14.90, 0, 15.20
2, 15.40, 0, 14.20
2, 15.10, 0, 14.80
2, 15.30, 0, 14.40
2, 14.90, 0, 15.20
2, 14.60, 0, 15.80
2, 14.70, 0, 15.60
2, 14.80, 0, 15.40
2, 15.20, 0, 14.60
2, 14.90, 0, 15.20
2, 15.20, 0, 14.60
2, 15.00, 0, 15.00
2, 15.30, 0, 14.40
2, 15.30, 0, 14.40
2, 14.60, 0, 15.80
2, 14.70, 0, 15.60
2, 14.70, 0, 15.60
2, 15.10, 0, 14.80
2, 14.70, 0, 15.60
2, 15.20, 0, 14.60
2, 15.00, 0, 15.00
2, 14.50, 0, 16.00
2, 15.10, 0, 14.80
2, 15.00, 0, 15.00
2, 15.10, 0, 14.80
2, 14.70, 0, 15.60
2, 14.80, 0, 15.40
2, 14.60, 0, 15.80
2, 15.10, 0, 14.80
2, 15.10, 0, 14.80
2, 15.10, 0, 14.80
2, 14.70, 0, 15.60
3, 15.30, 0, 14.40
3, 14.85, 0, 15.30
3, 15.00, 0, 15.00
3, 14.85, 0, 15.30
3, 14.70, 0, 15.60
3, 15.00, 0, 15.00
3, 14.10, 0, 16.80
3, 15.15, 0, 14.70
3, 14.55, 0, 15.90
3, 15.00, 0, 15.00
3, 14.85, 0, 15.30
3, 14.85, 0, 15.30
3, 15.00, 0, 15.00
3, 14.85, 0, 15.30
3, 15.30, 0, 14.40
3, 15.30, 0, 14.40
3, 15.45, 0, 14.10
3, 15.15, 0, 14.70
3, 14.40, 0, 16.20
3, 14.85, 0, 15.30
3, 15.00, 0, 15.00
3, 14.70, 0, 15.60
3, 14.70, 0, 15.60
3, 14.70, 0, 15.60
3, 14.55, 0, 15.90
3, 15.15, 0, 14.70
3, 15.60, 0, 13.80
3, 14.85, 0, 15.30
3, 14.70, 0, 15.60
3, 14.40, 0, 16.20
3, 14.55, 0, 15.90
3, 15.00, 0, 15.00
3, 15.30, 0, 14.40
3, 15.00, 0, 15.00
3, 14.25, 0, 16.50
3, 15.15, 0, 14.70
3, 15.45, 0, 14.10
3, 15.30, 0, 14.40
3, 15.45, 0, 14.10
3, 15.15, 0, 14.70
3, 14.70, 0, 15.60
3, 15.45, 0, 14.10
3, 14.70, 0, 15.60
3, 14.85, 0, 15.30
3, 15.00, 0, 15.00
3, 15.00, 0, 15.00
3, 15.15, 0, 14.70
3, 14.85, 0, 15.30
3, 15.30, 0, 14.40
3, 15.15, 0, 14.70
3, 15.00, 0, 15.00
3, 14.40, 0, 16.20
3, 15.15, 0, 14.70
3, 14.85, 0, 15.30
3, 15.00, 0, 15.00
3, 14.55, 0, 15.90
3, 14.85, 0, 15.30
3, 14.85, 0, 15.30
3, 15.15, 0, 14.70
3, 14.70, 0, 15.60
3, 15.15, 0, 14.70
3, 14.85, 0, 15.30
3, 15.15, 0, 14.70
3, 15.15, 0, 14.70
3, 15.00, 0, 15.00
3, 14.85, 0, 15.30
3, 14.70, 0, 15.60
3, 15.15, 0, 14.70
3, 15.15, 0, 14.70
3, 14.40, 0, 16.20
3, 15.00, 0, 15.00
3, 15.15, 0, 14.70
3, 15.45, 0, 14.10
3, 14.70, 0, 15.60
3, 14.70, 0, 15.60
3, 14.85, 0, 15.30
3, 15.00, 0, 15.00
3, 14.85, 0, 15.30
3, 14.25, 0, 16.50
3, 14.70, 0, 15.60
3, 15.00, 0, 15.00
3, 15.30, 0, 14.40
3, 14.55, 0, 15.90
3, 15.00, 0, 15.00
3, 15.15, 0, 14.70
3, 15.00, 0, 15.00
3, 15.60, 0, 13.80
3, 15.30, 0, 14.40
3, 14.55, 0, 15.90
3, 14.70, 0, 15.60
3, 15.15, 0, 14.70
3, 15.60, 0, 13.80
3, 15.00, 0, 15.00
3, 15.00, 0, 15.00
3, 15.15, 0, 14.70
3, 15.15, 0, 14.70
3, 14.55, 0, 15.90
3, 15.45, 0, 14.10
3, 15.00, 0, 15.00
3, 15.00, 0, 15.00
4, 15.00, 0, 15.00
4, 15.00, 0, 15.00
4, 14.80, 0, 15.40
4, 14.80, 0, 15.40
4, 14.80, 0, 15.40
4, 15.20, 0, 14.60
4, 15.40, 0, 14.20
4, 14.40, 0, 16.20
4, 14.80, 0, 15.40
4, 14.60, 0, 15.80
4, 15.20, 0, 14.60
4, 14.80, 0, 15.40
4, 15.00, 0, 15.00
4, 14.60, 0, 15.80
4, 15.40, 0, 14.20
4, 14.60, 0, 15.80
4, 15.20, 0, 14.60
4, 15.20, 0, 14.60
4, 15.20, 0, 14.60
4, 14.00, 0, 17.00
4, 15.40, 0, 14.20
4, 15.20, 0, 14.60
4, 15.00, 0, 15.00
4, 15.40, 0, 14.20
4, 15.20, 0, 14.60
4, 15.00, 0, 15.00
4, 15.80, 0, 13.40
4, 15.20, 0, 14.60
4, 14.80, 0, 15.40
4, 15.20, 0, 14.60
4, 15.60, 0, 13.80
4, 15.00, 0, 15.00
4, 14.80, 0, 15.40
4, 15.40, 0, 14.20
4, 15.20, 0, 14.60
4, 14.60, 0, 15.80
4, 14.60, 0, 15.80
4, 15.40, 0, 14.20
4, 14.80, 0, 15.40
4, 14.40, 0, 16.20
4, 15.40, 0, 14.20
4, 15.00, 0, 15.00
4, 14.80, 0, 15.40
4, 16.00, 0, 13.00
4, 15.40, 0, 14.20
4, 14.60, 0, 15.80
4, 15.20, 0, 14.60
4, 14.00, 0, 17.00
4, 15.80, 0, 13.40
4, 15.00, 0, 15.00
4, 15.60, 0, 13.80
4, 15.20, 0, 14.60
4, 14.40, 0, 16.20
4, 15.40, 0, 14.20
4, 15.00, 0, 15.00
4, 15.20, 0, 14.60
4, 16.00, 0, 13.00
4, 14.80, 0, 15.40
4, 15.40, 0, 14.20
4, 15.20, 0, 14.60
4, 14.60, 0, 15.80
4, 14.40, 0, 16.20
4, 15.20, 0, 14.60
4, 14.80, 0, 15.40
4, 14.40, 0, 16.20
4, 15.00, 0, 15.00
4, 14.80, 0, 15.40
4, 15.00, 0, 15.00
4, 15.00, 0, 15.00
4, 15.20, 0, 14.60
4, 14.60, 0, 15.80
4, 13.80, 0, 17.40
4, 14.40, 0, 16.20
4, 14.60, 0, 15.80
4, 15.20, 0, 14.60
4, 14.40, 0, 16.20
4, 15.60, 0, 13.80
4, 15.20, 0, 14.60
4, 15.20, 0, 14.60
4, 15.20, 0, 14.60
4, 15.20, 0, 14.60
4, 15.40, 0, 14.20
4, 16.20, 0, 12.60
4, 14.40, 0, 16.20
4, 15.40, 0, 14.20
4, 15.60, 0, 13.80
4, 15.60, 0, 13.80
4, 14.80, 0, 15.40
4, 14.80, 0, 15.40
4, 15.80, 0, 13.40
4, 15.40, 0, 14.20
4, 14.80, 0, 15.40
4, 14.40, 0, 16.20
4, 16.20, 0, 12.60
4, 14.60, 0, 15.80
4, 14.80, 0, 15.40
4, 15.40, 0, 14.20
4, 15.00, 0, 15.00
4, 13.80, 0, 17.40
4, 16.00, 0, 13.00
5, 15.50, 0, 14.00
5, 14.50, 0, 16.00
5, 14.25, 0, 16.50
5, 15.75, 0, 13.50
5, 15.25, 0, 14.50
5, 15.25, 0, 14.50
5, 15.25, 0, 14.50
5, 14.25, 0, 16.50
5, 15.75, 0, 13.50
5, 15.00, 0, 15.00
5, 15.50, 0, 14.00
5, 15.25, 0, 14.50
5, 14.00, 0, 17.00
5, 14.50, 0, 16.00
5, 14.50, 0, 16.00
5, 13.75, 0, 17.50
5, 15.25, 0, 14.50
5, 15.00, 0, 15.00
5, 14.75, 0, 15.50
5, 15.75, 0, 13.50
5, 15.00, 0, 15.00
5, 14.75, 0, 15.50
5, 16.50, 0, 12.00
5, 15.50, 0, 14.00
5, 15.75, 0, 13.50
5, 15.25, 0, 14.50
5, 14.75, 0, 15.50
5, 14.50, 0, 16.00
5, 15.50, 0, 14.00
5, 14.50, 0, 16.00
5, 14.75, 0, 15.50
5, 15.25, 0, 14.50
5, 15.50, 0, 14.00
5, 14.75, 0, 15.50
5, 14.50, 0, 16.00
5, 15.50, 0, 14.00
5, 14.75, 0, 15.50
5, 14.75, 0, 15.50
5, 15.00, 0, 15.00
5, 16.25, 0, 12.50
5, 14.50, 0, 16.00
5, 15.00, 0, 15.00
5, 15.00, 0, 15.00
5, 15.75, 0, 13.50
5, 14.75, 0, 15.50
5, 15.25, 0, 14.50
5, 16.25, 0, 12.50
5, 14.25, 0, 16.50
5, 15.75, 0, 13.50
5, 15.50, 0, 14.00
5, 15.25, 0, 14.50
5, 13.75, 0, 17.50
5, 15.75, 0, 13.50
5, 15.25, 0, 14.50
5, 15.25, 0, 14.50
5, 14.25, 0, 16.50
5, 14.50, 0, 16.00
5, 15.50, 0, 14.00
5, 14.50, 0, 16.00
5, 14.75, 0, 15.50
5, 15.75, 0, 13.50
5, 14.75, 0, 15.50
5, 15.50, 0, 14.00
5, 15.25, 0, 14.50
5, 15.50, 0, 14.00
5, 15.75, 0, 13.50
5, 15.75, 0, 13.50
5, 14.75, 0, 15.50
5, 15.00, 0, 15.00
5, 15.25, 0, 14.50
5, 15.00, 0, 15.00
5, 15.00, 0, 15.00
5, 14.75, 0, 15.50
5, 14.50, 0, 16.00
5, 15.50, 0, 14.00
5, 15.50, 0, 14.00
5, 14.75, 0, 15.50
5, 15.75, 0, 13.50
5, 15.25, 0, 14.50
5, 14.75, 0, 15.50
5, 14.25, 0, 16.50
5, 14.50, 0, 16.00
5, 15.50, 0, 14.00
5, 15.00, 0, 15.00
5, 14.50, 0, 16.00
5, 15.50, 0, 14.00
5, 16.00, 0, 13.00
5, 14.25, 0, 16.50
5, 14.75, 0, 15.50
5, 14.75, 0, 15.50
5, 15.25, 0, 14.50
5, 14.75, 0, 15.50
5, 15.50, 0, 14.00
5, 15.25, 0, 14.50
5, 14.75, 0, 15.50
5, 15.25, 0, 14.50
5, 14.25, 0, 16.50
5, 15.25, 0, 14.50
5, 14.75, 0, 15.50
5, 15.50, 0, 14.00
6, 15.60, 0, 13.80
6, 16.20, 0, 12.60
6, 15.00, 0, 15.00
6, 15.30, 0, 14.40
6, 15.60, 0, 13.80
6, 15.00, 0, 15.00
6, 15.30, 0, 14.40
6, 14.40, 0, 16.20
6, 14.40, 0, 16.20
6, 14.10, 0, 16.80
6, 15.30, 0, 14.40
6, 14.10, 0, 16.80
6, 14.40, 0, 16.20
6, 15.60, 0, 13.80
6, 15.00, 0, 15.00
6, 13.20, 0, 18.60
6, 15.00, 0, 15.00
6, 15.30, 0, 14.40
6, 14.40, 0, 16.20
6, 15.60, 0, 13.80
6, 15.00, 0, 15.00
6, 13.80, 0, 17.40
6, 16.20, 0, 12.60
6, 15.30, 0, 14.40
6, 14.10, 0, 16.80
6, 14.70, 0, 15.60
6, 15.00, 0, 15.00
6, 15.60, 0, 13.80
6, 14.70, 0, 15.60
6, 14.10, 0, 16.80
6, 15.30, 0, 14.40
6, 15.30, 0, 14.40
6, 14.70, 0, 15.60
6, 14.70, 0, 15.60
6, 15.60, 0, 13.80
6, 15.30, 0, 14.40
6, 15.30, 0, 14.40
6, 14.70, 0, 15.60
6, 14.70, 0, 15.60
6, 15.30, 0, 14.40
6, 15.00, 0, 15.00
6, 14.10, 0, 16.80
6, 14.10, 0, 16.80
6, 13.80, 0, 17.40
6, 14.10, 0, 16.80
6, 14.70, 0, 15.60
6, 15.90, 0, 13.20
6, 15.00, 0, 15.00
6, 14.70, 0, 15.60
6, 15.00, 0, 15.00
6, 15.00, 0, 15.00
6, 14.70, 0, 15.60
6, 14.10, 0, 16.80
6, 15.30, 0, 14.40
6, 14.70, 0, 15.60
6, 15.90, 0, 13.20
6, 15.60, 0, 13.80
6, 14.40, 0, 16.20
6, 14.70, 0, 15.60
6, 15.30, 0, 14.40
6, 15.00, 0, 15.00
6, 14.70, 0, 15.60
6, 15.60, 0, 13.80
6, 15.90, 0, 13.20
6, 15.30, 0, 14.40
6, 15.00, 0, 15.00
6, 14.40, 0, 16.20
6, 15.30, 0, 14.40
6, 14.10, 0, 16.80
6, 14.40, 0, 16.20
6, 15.30, 0, 14.40
6, 14.40, 0, 16.20
6, 15.60, 0, 13.80
6, 13.50, 0, 18.00
6, 14.40, 0, 16.20
6, 15.60, 0, 13.80
6, 15.60, 0, 13.80
6, 15.60, 0, 13.80
6, 14.70, 0, 15.60
6, 15.90, 0, 13.20
6, 15.90, 0, 13.20
6, 15.30, 0, 14.40
6, 15.00, 0, 15.00
6, 14.70, 0, 15.60
6, 15.00, 0, 15.00
6, 15.90, 0, 13.20
6, 14.70, 0, 15.60
6, 14.40, 0, 16.20
6, 15.90, 0, 13.20
6, 15.30, 0, 14.40
6, 14.70, 0, 15.60
6, 14.70, 0, 15.60
6, 16.50, 0, 12.00
6, 14.40, 0, 16.20
6, 15.30, 0, 14.40
6, 15.30, 0, 14.40
6, 15.60, 0, 13.80
6, 14.10, 0, 16.80
6, 14.70, 0, 15.60
6, 14.40, 0, 16.20
7, 14.65, 0, 15.70
7, 13.60, 0, 17.80
7, 15.00, 0, 15.00
7, 15.35, 0, 14.30
7, 14.65, 0, 15.70
7, 14.65, 0, 15.70
7, 14.30, 0, 16.40
7, 14.65, 0, 15.70
7, 14.30, 0, 16.40
7, 15.35, 0, 14.30
7, 14.65, 0, 15.70
7, 15.35, 0, 14.30
7, 16.40, 0, 12.20
7, 15.35, 0, 14.30
7, 15.70, 0, 13.60
7, 15.35, 0, 14.30
7, 15.70, 0, 13.60
7, 16.05, 0, 12.90
7, 15.00, 0, 15.00
7, 14.65, 0, 15.70
7, 14.65, 0, 15.70
7, 13.60, 0, 17.80
7, 17.10, 0, 10.80
7, 15.70, 0, 13.60
7, 14.30, 0, 16.40
7, 15.00, 0, 15.00
7, 13.95, 0, 17.10
7, 15.00, 0, 15.00
7, 15.35, 0, 14.30
7, 15.35, 0, 14.30
7, 13.95, 0, 17.10
7, 15.00, 0, 15.00
7, 13.95, 0, 17.10
7, 15.35, 0, 14.30
7, 13.95, 0, 17.10
7, 15.35, 0, 14.30
7, 14.30, 0, 16.40
7, 15.70, 0, 13.60
7, 16.05, 0, 12.90
7, 15.00, 0, 15.00
7, 15.35, 0, 14.30
7, 15.70, 0, 13.60
7, 15.35, 0, 14.30
7, 14.65, 0, 15.70
7, 15.70, 0, 13.60
7, 14.65, 0, 15.70
7, 15.35, 0, 14.30
7, 15.00, 0, 15.00
7, 14.65, 0, 15.70
7, 13.95, 0, 17.10
7, 16.75, 0, 11.50
7, 13.25, 0, 18.50
7, 14.30, 0, 16.40
7, 14.65, 0, 15.70
7, 14.65, 0, 15.70
7, 14.30, 0, 16.40
7, 14.65, 0, 15.70
7, 15.70, 0, 13.60
7, 16.05, 0, 12.90
7, 16.40, 0, 12.20
7, 14.65, 0, 15.70
7, 16.05, 0, 12.90
7, 13.60, 0, 17.80
7, 15.70, 0, 13.60
7, 16.40, 0, 12.20
7, 15.00, 0, 15.00
7, 14.30, 0, 16.40
7, 15.00, 0, 15.00
7, 13.60, 0, 17.80
7, 13.25, 0, 18.50
7, 16.40, 0, 12.20
7, 14.30, 0, 16.40
7, 14.65, 0, 15.70
7, 15.35, 0, 14.30
7, 14.65, 0, 15.70
7, 15.35, 0, 14.30
7, 14.65, 0, 15.70
7, 16.40, 0, 12.20
7, 14.65, 0, 15.70
7, 13.95, 0, 17.10
7, 14.65, 0, 15.70
7, 13.25, 0, 18.50
7, 15.00, 0, 15.00
7, 13.95, 0, 17.10
7, 13.60, 0, 17.80
7, 14.30, 0, 16.40
7, 15.70, 0, 13.60
7, 14.65, 0, 15.70
7, 15.00, 0, 15.00
7, 15.70, 0, 13.60
7, 16.05, 0, 12.90
7, 14.65, 0, 15.70
7, 14.65, 0, 15.70
7, 14.30, 0, 16.40
7, 14.30, 0, 16.40
7, 16.05, 0, 12.90
7, 15.00, 0, 15.00
7, 14.65, 0, 15.70
7, 14.65, 0, 15.70
7, 15.00, 0, 15.00
8, 13.40, 0, 18.20
8, 14.60, 0, 15.80
8, 14.60, 0, 15.80
8, 11.80, 0, 21.40
8, 15.40, 0, 14.20
8, 16.20, 0, 12.60
8, 15.00, 0, 15.00
8, 13.40, 0, 18.20
8, 14.60, 0, 15.80
8, 15.80, 0, 13.40
8, 14.60, 0, 15.80
8, 15.40, 0, 14.20
8, 14.60, 0, 15.80
8, 15.80, 0, 13.40
8, 15.00, 0, 15.00
8, 13.80, 0, 17.40
8, 15.40, 0, 14.20
8, 15.40, 0, 14.20
8, 15.80, 0, 13.40
8, 14.20, 0, 16.60
8, 13.40, 0, 18.20
8, 13.80, 0, 17.40
8, 14.20, 0, 16.60
8, 15.80, 0, 13.40
8, 15.00, 0, 15.00
8, 13.40, 0, 18.20
8, 14.60, 0, 15.80
8, 13.80, 0, 17.40
8, 14.20, 0, 16.60
8, 15.40, 0, 14.20
8, 14.60, 0, 15.80
8, 15.00, 0, 15.00
8, 14.60, 0, 15.80
8, 14.20, 0, 16.60
8, 14.60, 0, 15.80
8, 15.80, 0, 13.40
8, 15.80, 0, 13.40
8, 15.80, 0, 13.40
8, 15.00, 0, 15.00
8, 15.00, 0, 15.00
8, 15.40, 0, 14.20
8, 14.60, 0, 15.80
8, 14.60, 0, 15.80
8, 14.20, 0, 16.60
8, 14.60, 0, 15.80
8, 13.80, 0, 17.40
8, 15.40, 0, 14.20
8, 15.40, 0, 14.20
8, 16.20, 0, 12.60
8, 14.60, 0, 15.80
8, 14.20, 0, 16.60
8, 15.00, 0, 15.00
8, 15.00, 0, 15.00
8, 14.60, 0, 15.80
8, 15.40, 0, 14.20
8, 15.80, 0, 13.40
8, 14.60, 0, 15.80
8, 15.80, 0, 13.40
8, 13.80, 0, 17.40
8, 14.20, 0, 16.60
8, 15.40, 0, 14.20
8, 14.60, 0, 15.80
8, 15.80, 0, 13.40
8, 14.20, 0, 16.60
8, 15.00, 0, 15.00
8, 15.40, 0, 14.20
8, 14.20, 0, 16.60
8, 14.60, 0, 15.80
8, 15.00, 0, 15.00
8, 13.40, 0, 18.20
8, 15.40, 0, 14.20
8, 14.60, 0, 15.80
8, 16.60, 0, 11.80
8, 14.60, 0, 15.80
8, 14.60, 0, 15.80
8, 15.80, 0, 13.40
8, 14.60, 0, 15.80
8, 17.00, 0, 11.00
8, 15.40, 0, 14.20
8, 14.60, 0, 15.80
8, 16.20, 0, 12.60
8, 15.00, 0, 15.00
8, 13.80, 0, 17.40
8, 15.40, 0, 14.20
8, 17.00, 0, 11.00
8, 15.00, 0, 15.00
8, 16.20, 0, 12.60
8, 16.20, 0, 12.60
8, 15.40, 0, 14.20
8, 15.40, 0, 14.20
8, 16.60, 0, 11.80
8, 15.40, 0, 14.20
8, 16.60, 0, 11.80
8, 14.20, 0, 16.60
8, 14.60, 0, 15.80
8, 16.20, 0, 12.60
8, 15.00, 0, 15.00
8, 16.20, 0, 12.60
8, 15.40, 0, 14.20
8, 15.00, 0, 15.00
9, 15.00, 0, 15.00
9, 15.00, 0, 15.00
9, 14.10, 0, 16.80
9, 15.45, 0, 14.10
9, 15.00, 0, 15.00
9, 14.10, 0, 16.80
9, 12.30, 0, 20.40
9, 15.00, 0, 15.00
9, 16.80, 0, 11.40
9, 15.45, 0, 14.10
9, 15.90, 0, 13.20
9, 15.90, 0, 13.20
9, 15.45, 0, 14.10
9, 15.90, 0, 13.20
9, 13.65, 0, 17.70
9, 13.65, 0, 17.70
9, 14.10, 0, 16.80
9, 14.55, 0, 15.90
9, 12.75, 0, 19.50
9, 14.55, 0, 15.90
9, 15.00, 0, 15.00
9, 15.00, 0, 15.00
9, 16.80, 0, 11.40
9, 15.45, 0, 14.10
9, 15.90, 0, 13.20
9, 15.00, 0, 15.00
